1, 3/11/13,5042302,17, ,Manhattan,NY, , 0000.01-,0
1, 3/11/13,5042752,AVE X LOCATION,333 AVE X,Brooklyn,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042757,610, ,JERSEY CITY,NJ,7097, 0000.01-,0
1, 3/11/13,5042828,SAMEDAY 19, , ,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042621,RITE AID 10631,1825 BRENTWOOD ROAD,BRENTWOOD,NY,11717, 0000.01-, 0000.01-
1, 3/11/13,5042363,112, ,L.I, , , 0000.01-, 0000.01-
1, 3/11/13,5042630,RITE AID 10659,346-102 POINT PLAZA,ROCKY POINT,NY,11778, 0000.01-, 0000.01-
1, 3/11/13,5042602,63R, , , , , 0000.01-,0
1, 3/11/13,5042201,45, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042868,CARDINAL HEALTH,6012 E MOLLOY RD,SYRACUSE,NY,13211, 0000.01-, 0000.01-
1, 3/11/13,5042135,TRUCK #9 DAILY USAGE, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042517,527, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042307,NEXTDAY C01, , ,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042478,60V, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042474,60Q, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042824,627, ,HAUPPAUGE,NY,11788, 0000.01-, 0000.01-
1, 3/11/13,5042598,425, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042579,RITE AID 4991,109-07 101ST AVENUE,Jamaica,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042566,RITE AID 572,119-10 LIBERTY AVENUE,Richmond Hill,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042313,64Q, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042468,60E, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042480,448, , , , , 0000.01-,0
1, 3/11/13,5042506,515, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042464,60U, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042504,513, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042298,NEXTDAY 28, , ,PA, , 0000.01-, 0000.01-
1, 3/11/13,5042782,RTE NJ 3, ,SECAUCUS,NJ,7094, 0000.01-, 0000.01-
1, 3/11/13,5042391,RT 21, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042221,70, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042777,SAME DAY P/U, , , , , 0000.01-,0
1, 3/11/13,5042178,52, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042639,RITE AID 10646,457 PARK AVENUE,ROOSEVELT,NY,11575, 0000.01-, 0000.01-
1, 3/11/13,5042183,57, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5044048,CUSTOMER RETURNS HD,1 FAIRCHILD COURT,PLAINVIEW,NY,11803,0,0
1, 3/11/13,5042337,135, , , , , 0000.01-,0
1, 3/11/13,5042875,646, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042462,26, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042753,CAPITAL ONE MAILROOM, ,MATTITUCK,NY,11952, 0000.01-, 0000.01-
1, 3/11/13,5042732,HD L35, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042588,414, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042368,117, ,L.I., , , 0000.01-, 0000.01-
1, 3/11/13,5042364,113, ,L.I., , , 0000.01-, 0000.01-
1, 3/11/13,5042561,RITE AID 4877,325 ROUTE 110,HUNTINGTON STA.,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042745,CAPITAL ONE OPC,90 PARK AVE,HAUPPAUGE,NY,11788, 0000.01-, 0000.01-
1, 3/11/13,5042136,TRUCK #10 DAILY USAGE, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042143,CAPITAL ONE BANK, ,SECAUCUS,NJ,7094, 0000.01-,0
1, 3/11/13,5042863,637, , , , , 0000.01-,0
1, 3/11/13,5042532,RITE AID 668,139 RONKONKOMA AVENUE,RONKONKOMA,NY,11779, 0000.01-, 0000.01-
1, 3/11/13,5042150,13, ,Manhattan,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042216,62, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042211,11, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042327,125, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042547,RITE AID 4226,82 NUGENT STREET,SOUTH HAMPTON,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042556,RITE AID 4863,144-29 NORTHERN BOULEVARD,Flushing,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042166,657, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042318,426, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042355,104, ,L.I., , , 0000.01-, 0000.01-
1, 3/11/13,5042192,36, ,LONG ISLAND,NY, , 0000.01-,0
1, 3/11/13,5042359,108, ,L.I., , , 0000.01-, 0000.01-
1, 3/11/13,5042351,100, ,L.I, , , 0000.01-, 0000.01-
1, 3/11/13,5042230,86, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042287,YALE HEALTH PLAN,17 HILLHOUSE AVE,New Haven,CT, , 0000.01-,0
1, 3/11/13,5042894,HD TO TXX-LINE HAUL,365 oser AVE,HAUPPAUGE,NY,11788, 0000.01-,0
1, 3/11/13,5042568,RITE AID 2771,165-02 BAISLEY BOULEVARD,Jamaica,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042862,636, , , , , 0000.01-,0
1, 3/11/13,5042215,61, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042722,HD L25, ,L.I.,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042210,10 & 12, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042157,DOCK RELAY, , , , , 0000.01-,0
1, 3/11/13,5042546,RITE AID 4192,40-16 NATIONAL STREET,Corona,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042326,124, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042245,CAPITAL ONE BANK,425 Meadowlands Pkwy,SECAUCUS,NJ,7094, 0000.01-, 0000.01-
1, 3/11/13,5042165,656, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042555,RITE AID 4861,50 GREAT NECK ROAD,GREAT NECK,NY,11023, 0000.01-, 0000.01-
1, 3/11/13,5042577,RITE AID 4845,2410 MERRICK ROAD,BELLMORE,NY,11710, 0000.01-, 0000.01-
1, 3/11/13,5042331,129, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042317,419, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042615,RITE AID 10665,532-A UNION BLVD.,WEST ISLIP,NY,11795, 0000.01-, 0000.01-
1, 3/11/13,5042289,FUJI RITE-AID,**395 STOPS X $10.50**, , , , 0000.01-,0
1, 3/11/13,5042514,524, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042503,512, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042682,RITE AID 10591,193-01 NORTHERN BLVD.,AUBURNDALE,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042781,RTE NJ 2, ,SECAUCUS,NJ,7094, 0000.01-, 0000.01-
1, 3/11/13,5042390,20, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042776,CII CAGE,463 BARELL AVE,CARLSTADT,NJ,7072, 0000.01-,0
1, 3/11/13,5042386,TRUCK #7 DAILY USAGE, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042690,RITE AID 10606,160-10 CROSS BAY BLVD,Howard Beach,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042822,625, ,Bronx,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042220,68, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042177,50, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042596,429, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042670,RITE AID 10598,65-35 WOODHAVEN BLVD.,Rego Park,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042699,HD LO2, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042638,RITE AID 10633,901 MERRICK ROAD,COPAIGUE,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042715,HD L18, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042182,56, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042542,RITE AID 3870,3700-06 JUNCTION BOULEVARD,Flushing,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042707,HD L10, ,L.I.,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042624,RITE AID 10649,2799  112,MEDFORD,NY,11763, 0000.01-, 0000.01-
1, 3/11/13,5042551,RITE AID 4552,2 WHITNEY AVENUE,FLORAL PARK,NY,11001, 0000.01-, 0000.01-
1, 3/11/13,5042896,TXX JAM, ,Jamaica,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042336,134, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042311,49, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042874,645, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042659,RITE AID 10640,391 WEST MAIN STREET,HUNTINGTON,NY,11743, 0000.01-, 0000.01-
1, 3/11/13,5042501,510, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042657,RITE AID 10642,695 EAST JERICHO TURNPIKE,HUNTINGSTON STA.,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042508,518, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042471,60L, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042461,64S, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042771, MAILROOM RELAY TXX, ,Manhattan,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042731,HD L34, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042520,530, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042830,658,emblemhealth, , , , 0000.01-, 0000.01-
1, 3/11/13,5042367,116, ,L.I., , , 0000.01-, 0000.01-
1, 3/11/13,5042560,RITE AID 4873,55-60 MYRTLE AVENUE,Ridgewood,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042607,Daily Returns & CII's / NY METRO,Mon-Fri, , , , 0000.01-, 0000.01-
1, 3/11/13,5042696,65, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042135,TRUCK #9 DAILY USAGE, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042871,642, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042748,CAPITAL ONE,9025 MAIN RD,MATTITUCK,NY,11952, 0000.01-, 0000.01-
1, 3/11/13,5042744,417, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042653,RITE AID 10610,52 JERICHO TURNPIKE,MINEOLA,NY,11501, 0000.01-, 0000.01-
1, 3/11/13,5042499,508, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042583,406, , , , , 0000.01-,0
1, 3/11/13,5042592,421, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042141,DOWNTOWN PHCY, ,JERSEY CITY,NJ,7097, 0000.01-,0
1, 3/11/13,5042736,HD L42, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042570,RITE AID 3677,162-19 HILLSIDE AVENUE,Jamaica,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042680,RITE AID 10594,62-29/35 SPRINGFIELD BLVD.,OAKLAND GARDENS,NY,11364, 0000.01-, 0000.01-
1, 3/11/13,5042538,RITE AID 3385,63-37 108TH STREET,Forest Hills,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042618,RITE AID 10634,328 MAIN STREET,EAST ISLIP,NY,11730, 0000.01-, 0000.01-
1, 3/11/13,5042496,505, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042684,RITE AID 10589,153-65 CROSS ISLAND PARKWAY,Whitestone,NY, , 0000.01-,0
1, 3/11/13,5042544,RITE AID 3962,45-02 43RD AVENUE,Sunnyside,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042529,H.D. SMITH-BILLING TICKET,STOPS=000+SPECIAL +00 DBLS,HAUPPAUGE,NY,11788, 0000.01-,0
1, 3/11/13,5042609,RITE AID 10644,18 INDIAN HEAD ROAD,KINGS PARK,NY,11754, 0000.01-, 0000.01-
1, 3/11/13,5042491,500, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042676,RITE AID 10569,32-14 31ST STREET,Astoria,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042512,522, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042636,RITE AID 10628,2784 SUNRISE HIGHWAY,BELLMORE,NY,11710, 0000.01-, 0000.01-
1, 3/11/13,5042466,60C, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042655,RITE AID 10632,126 JERICHO TURNPIKE,COMMACK,NY,11725, 0000.01-, 0000.01-
1, 3/11/13,5042322,120, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042711,HD L14, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042573,RITE AID 4277,115-10 MERRICK BOULEVARD,Jamaica,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042819,622,SAMEDAY,HAUPPAUGE,NY,11788, 0000.01-, 0000.01-
1, 3/11/13,5042564,RITE AID 4992,58-01 QUEENS BOULEVARD,Woodside,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042611,RITE AID 10643,1968 VETRANS HWY.,CENTRAL ISLIP,NY,11722, 0000.01-, 0000.01-
1, 3/11/13,5042510,520, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042686,RITE AID 10599,110-88 QUEENS BLVD.,Forest Hills,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042739,CAPITAL ONE OPERATION CTR,9025 MAIN RD,MATTITUCK,NY,11952, 0000.01-, 0000.01-
1, 3/11/13,5042196,40, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042674,RITE AID 10567,43-02 DITMARS BLVD.,Astoria,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042187,31, ,LONG ISLAND,NY, , 0000.01-,0
1, 3/11/13,5042806,WEST ROCK, ,SCARSDALE,NY,10583, 0000.01-, 0000.01-
1, 3/11/13,5042234,94, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042394,RT 25, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042799,QUEENS 3, ,Queens,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042230,86, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042891,CAPITAL ONE OPC,425 MEADOWLAND PKWY,SECAUCUS,NJ,7094, 0000.01-, 0000.01-
1, 3/11/13,5042284,NEXTDAY 33, , , , , 0000.01-,0
1, 3/11/13,5042320,CARDINAL 79, , , , , 0000.01-,0
1, 3/11/13,5042296,H.D. SMITH D,670 BELVILLE TPKE,KEARNY,NJ, , 0000.01-, 0000.01-
1, 3/11/13,5042139,CAPITAL ONE, ,SECAUCUS,NJ,7094, 0000.01-, 0000.01-
1, 3/11/13,5042746,CAPITAL ONE OPERATION CTR,9025 MAIN RD,MATTITUCK,NY,11952, 0000.01-, 0000.01-
1, 3/11/13,5042685,RITE AID 10595,69-62 188TH STREET,FRESH MEADOWS,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042791,NYC 6, ,Manhattan,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042195,39, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042742,TXX TRUCK RENTAL FEE, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042750,CII RELAY BRONX, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042784,RTE NJ 5, ,SECAUCUS,NJ,7094, 0000.01-, 0000.01-
1, 3/11/13,5042186,30, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042759,612, ,YONKERS,NY,10701, 0000.01-, 0000.01-
1, 3/11/13,5042673,RITE AID 10597,37-32 82ND STREET,JACKSON HEIGHTS,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042148,648, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042894,HD TO TXX-LINE HAUL,365 oser AVE,HAUPPAUGE,NY,11788, 0000.01-, 0000.01-
1, 3/11/13,5042321,19, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042660,RITE AID 10653,395 FORT SOLONGA ROAD,NORTHPORT,NY,11768, 0000.01-, 0000.01-
1, 3/11/13,5042677,RITE AID 10570,36-01 BROADWAY,Astoria,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042654,RITE AID 10611,1140 WILLIS AVENUE,ALBERTSON,NY,11507, 0000.01-, 0000.01-
1, 3/11/13,5042271,NEXTDAY 64, , , , , 0000.01-,0
1, 3/11/13,5042755,Rite Aid 2614,544 Allen RD,Basking Ridge,NJ, , 0000.01-, 0000.01-
1, 3/11/13,5042718,HD L21, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042834,617, ,Brooklyn,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042710,HD L13, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042812,NORTH HAVEN FILE ROOM,57 A DODGE AVE,NORTH HAVEN,CT,6473, 0000.01-, 0000.01-
1, 3/11/13,5042817,620, ,Bronx,NY, , 0000.01-,0
1, 3/11/13,5042572,RITE AID 4274,90-01 SUTPHIN BOULEVARD,Jamaica,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042808,SUFFOLK 2, ,SUFFOLK,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042581,403, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042665,RITE AID 10668,15-K EASTPORT MANOR ROAD,EASTPORT,NY,11941, 0000.01-, 0000.01-
1, 3/11/13,5042650,RITE AID 10620,198 WEST MERRICK ROAD,VALLEY STREAM,NY,11580, 0000.01-, 0000.01-
1, 3/11/13,5042818,621, ,HAUPPAUGE,NY,11788, 0000.01-, 0000.01-
1, 3/11/13,5042563,RITE AID 4981,3131 HEMPSTEAD TURNPIKE,LOCUST VALLEY,NY,11560, 0000.01-, 0000.01-
1, 3/11/13,5042646,RITE AID 10559,392-410 PLANDOME ROAD,MANHASSET,NY,11030, 0000.01-, 0000.01-
1, 3/11/13,5042619,RITE AID 10657,397 SUNRISE HWY.,WEST PATCHOGUE,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042610,RITE AID 10663,65 ROUTE 111,SMITHTOWN,NY,11787, 0000.01-, 0000.01-
1, 3/11/13,5042348,147, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042315,442, , , , , 0000.01-,0
1, 3/11/13,5042334,132, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042289,FUJI RITE-AID,**395 STOPS X $10.50**, , , , 0000.01-,0
1, 3/11/13,5042204,4, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042604,64P, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042518,528, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042880,651, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042802,NASSAU 3, ,PLAINVIEW,NY,11803, 0000.01-, 0000.01-
1, 3/11/13,5042224,75, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042795,BRONX 1, ,Bronx,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042361,110, ,L.I., , , 0000.01-,0
1, 3/11/13,5042340,138, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042702,HD L05, ,L.I.,NY, , 0000.01-,0
1, 3/11/13,5042858,633, ,Bronx,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042600,595, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042345,144, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042642,RITE AID 10560,657 HILLSIDE AVENUE,NEW HYDE PARK,NY,11040, 0000.01-, 0000.01-
1, 3/11/13,5042628,RITE AID 10652,5507 NESCONSET HWY.,MOUNT SINAI,NY,11766, 0000.01-, 0000.01-
1, 3/11/13,5042336,134, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042633,RITE AID 10630,3974 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714, 0000.01-, 0000.01-
1, 3/11/13,5042199,43, ,LONG ISLAND,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042877,649, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042884,655, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042301,149, , , , , 0000.01-,0
1, 3/11/13,5042668,RITE AID 10601,60-26 WOODSIDE AVENUE,Woodside,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042535,RITE AID 1707,47-07 BROADWAY,Astoria,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042672,RITE AID 10604,6036 MYRTLE AVENUE,Ridgewood,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042485,411, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042645,RITE AID 10562,21 SOUNDVIEW MARKET PLACE,PORT WASHINGTON,NY,11050, 0000.01-, 0000.01-
1, 3/11/13,5042785,RTE NJ 6, ,SECAUCUS,NJ,7094, 0000.01-, 0000.01-
1, 3/11/13,5042751,TXX,425B OSER AVE,HAUPPAUGE,NY,11788, 0000.01-, 0000.01-
1, 3/11/13,5042678,RITE AID 10568,21-25 BROADWAY,Long Island City,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042756,CAPITAL ONE OPC,425 MEADOWLAND PKWY,SECAUCUS,NJ,7094, 0000.01-, 0000.01-
1, 3/11/13,5042205,5, ,CARLSTADT,NJ,7072, 0000.01-, 0000.01-
1, 3/11/13,5042605,60G, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042519,529, , , , , 0000.01-, 0000.01-
1, 3/11/13,5042830,658,emblemhealth, , , , 0000.01-, 0000.01-
1, 3/11/13,5042855,630,BRONX,BNRONX,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042827,629,BROOKLYN,Brooklyn,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042666,RITE AID 10669,50 EAST MONTAUK HIGHWAY,Hampton Bays,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042809,SUFFOLK 3, ,SUFFOLK,NY, , 0000.01-, 0000.01-
1, 3/11/13,5042647,RITE AID 10558,152 MIDDLE NECK ROAD,GREAT NECK,NY,11023, 0000.01-, 0000.01-
1, 3/11/13,5042620,RITE AID 10626,SUNRISE HWY & MANOR LN.,BAY SHORE,NY,11706, 0000.01-, 0000.01-
1, 3/11/13,5042362,111, ,L.I., , , 0000.01-, 0000.01-
